add-yield-c,8,10000,160000,54720343,342,0
add-m,8,100000,1600000,110086775,68,0
add-yield-m,8,100000,1600000,867578121,542,0
add-s,8,100000,1600000,217204455,135,0
add-yield-s,8,100000,1600000,1536485274,960,0
add-c,8,100000,1600000,25066564,15,0
add-yield-c,8,100000,1600000,567720579,354,0
add-none,8,10,160,171982,1074,0
add-yield-none,8,10,160,132492,828,4
add-none,8,20,320,156201,488,0
add-yield-none,8,20,320,148612,464,35
add-none,8,40,640,149431,233,0
add-yield-none,8,40,640,156772,244,249
add-none,8,80,1280,215752,168,0
add-yield-none,8,80,1280,265373,207,197
add-none,8,100,1600,219453,137,0
add-yield-none,8,100,1600,257953,161,71
add-none,8,1000,16000,224692,14,0
add-yield-none,8,1000,16000,1320866,82,330
add-none,8,10000,160000,1022053,6,1459
add-yield-none,8,10000,160000,10792501,67,251
add-none,8,100000,1600000,6808002,4,-71752
add-yield-none,8,100000,1600000,70964839,44,607
add-m,12,100,2400,219543,91,0
add-yield-m,12,100,2400,1786201,744,0
add-s,12,100,2400,215332,89,0
add-yield-s,12,100,2400,4044889,1685,0
add-c,12,100,2400,199443,83,0
add-yield-c,12,100,2400,1000102,416,0
add-m,12,1000,24000,2374139,98,0
add-yield-m,12,1000,24000,15696471,654,0
add-s,12,1000,24000,3801025,158,0
add-yield-s,12,1000,24000,16845804,701,0
add-c,12,1000,24000,304744,12,0
add-yield-c,12,1000,24000,10545917,439,0
add-m,12,10000,240000,16673823,69,0
add-yield-m,12,10000,240000,134153715,558,0
add-s,12,10000,240000,38435925,160,0
add-yield-s,12,10000,240000,315265279,1313,0
add-c,12,10000,240000,4788608,19,0
add-yield-c,12,10000,240000,96675721,402,0
add-m,12,100000,2400000,155600335,64,0
add-yield-m,12,100000,2400000,1357520295,565,0
add-s,12,100000,2400000,555388631,231,0
add-yield-s,12,100000,2400000,2526269576,1052,0
add-c,12,100000,2400000,36183168,15,0
add-yield-c,12,100000,2400000,1020839488,425,0
add-none,12,10,240,317313,1322,0
add-yield-none,12,10,240,216893,903,0
add-none,12,20,480,239603,499,0
add-yield-none,12,20,480,177012,368,19
add-none,12,40,960,236433,246,0
add-yield-none,12,40,960,214013,222,103
add-none,12,80,1920,300063,156,0
add-yield-none,12,80,1920,311874,162,114
add-none,12,100,2400,319034,132,0
add-yield-none,12,100,2400,350934,146,431
add-none,12,1000,24000,242983,10,0
add-yield-none,12,1000,24000,1795671,74,235
add-none,12,10000,240000,1631789,6,2415
add-yield-none,12,10000,240000,13877947,57,1077
add-none,12,100000,2400000,8380383,3,-86066
add-yield-none,12,100000,2400000,103445799,43,1657
